2023-08-21 21:15:34,535 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:16:04,303 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:16:34,076 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:17:03,839 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:17:33,737 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:18:03,509 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:18:33,270 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:19:03,029 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:19:33,946 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:20:03,699 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:20:33,452 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:21:03,204 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:21:34,164 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:22:03,922 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:22:33,683 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:23:03,427 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
2023-08-21 21:23:34,391 ERROR [com.alibaba.nacos.client.Worker.longPolling.fixed-124.221.23.47_8848-learning-online-dev][CacheData.java:228] - [fixed-124.221.23.47_8848-learning-online-dev] [notify-error] dataId=gateway-dev.yaml, group=learning-online-project, md5=8c835d862ec6b246467bcaa10524949b, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@46c81299 tx=org.springframework.boot.context.properties.bind.BindException: Failed to bind properties under 'spring.cloud.gateway' to org.springframework.cloud.gateway.config.GatewayProperties
